年份,粗钢产量,短流程占比,氢冶金占比,绿电降碳潜力,低碳工艺降碳潜力,产量变化降碳,短流程降碳,氢冶金降碳,原料优化降碳,技术减排总量,目标碳强度,目标排放,CCUS原始,CCUS拦截,CCUS占比
2041,78000,29.174829538061157,5.470405985686402,9224.496917999999,15405.0,43892.549999999996,20191.095503578403,523.0375003253095,0,89236.1799219037,1.075,83850.0,22906.370078096283,22906.370078096283,20.426118434168195
2042,77400,30.307081327260896,5.950157449577099,9530.5475286,17298.9,45062.549999999996,21218.86927885491,574.7132798959017,0,93685.58008735083,1.0,77400.0,24906.96991264916,24906.96991264916,21.00213707576839
2043,76800,31.398152895250487,6.438216005204945,9832.5868032,19200.0,46232.549999999996,22185.604921795704,626.4824837996102,0,98077.22420879532,0.925,71040.0,26875.32579120467,26875.32579120467,21.508425231181494
2044,76200,32.449441769681194,6.933543266102798,10130.5717632,21107.4,47402.549999999996,23093.740748471042,678.2039953155504,0,102412.46650698659,0.85,64770.0,28810.0834930134,28810.0834930134,21.95513156314475
2045,75600,33.46234547820429,7.435100845803514,10424.459429999999,23020.200000000004,48572.549999999996,23945.669795055303,729.7404359141191,0,106692.61966096942,0.775,58590.0,30709.930339030572,30709.930339030572,22.350335084050897
2046,75000,34.43826154847105,7.941850357839948,10714.206825000001,24937.500000000007,49742.549999999996,24743.739817826936,780.958165256995,0,110918.95480808394,0.7,52500.0,32573.595191916043,32573.595191916043,22.700548001910935
2047,74500,35.378587508132725,8.452753415744956,11014.555608,26894.500000000007,50717.549999999996,25524.51438630449,832.8451942094996,0,114983.96518851398,0.625,46562.5,34446.08481148601,34446.08481148601,23.051645108521353
2048,74000,36.284720884840596,8.9667716330514,11311.680996,28860.00000000001,51692.549999999996,26258.436163955757,884.3116512687061,0,119006.97881122447,0.55,40700.0,36285.57118877552,36285.57118877552,23.365944592174912
2049,73500,37.15805920624593,9.482866623292129,11605.5471735,30833.250000000007,52667.549999999996,26947.584247397528,935.2360452179581,0,122989.1674661155,0.475,34912.5,38090.88253388449,38090.88253388449,23.647175757571777
2050,73000,38.0,10.0,11896.118325,32813.50000000001,53642.549999999996,27594.0,985.5000000000009,0,126931.668325,0.4,29200.0,39860.88167499998,39860.88167499998,23.898478484200876
2051,72300,38.81194079375407,10.517133376707871,12167.254123794,34581.09000000001,55007.549999999996,28121.89481174366,1032.1331147039696,0,130909.92205024164,0.365,26389.5,38693.127949758345,38693.127949758345,22.81393403583152
2052,71600,39.5952791151594,11.0332283669486,12432.663231072,36222.44000000001,56372.549999999996,28606.79679271308,1077.5687266102807,0,134712.01875039536,0.33,23628.0,37652.531249604624,37652.531249604624,21.844707191591674
2053,70900,40.35141249186727,11.547246584255042,12692.294836578,37740.07000000001,57737.549999999996,29050.85446659076,1121.6996742355248,0,138342.4689774043,0.295,20915.5,36734.581022595696,36734.581022595696,20.981951102440725
2054,70200,41.08173845152895,12.058149642160052,12946.098130055998,39136.50000000001,59102.549999999996,29456.163530513986,1164.4231573194545,0,141805.73481788943,0.26,18252.0,35934.81518211056,35934.81518211056,20.21756722487387
2055,69500,41.7876545217957,12.564899154196485,13194.02230125,40414.25000000001,60467.549999999996,29824.76685507482,1205.6407368249847,0,145106.22989314978,0.225,15637.5,35248.82010685021,35248.82010685021,19.544127046539707
2056,68800,42.4705582303188,13.066456733897201,13436.016539903998,41575.84000000001,61832.549999999996,30158.6544843201,1245.2583349381923,0,148248.3193591623,0.19,13072.0,34672.23064083769,34672.23064083769,18.95480340554284
2057,68200,43.13184710474952,13.561783994795054,13692.106438163997,42686.38000000001,63002.549999999996,30504.491629342887,1285.070502667535,0,151170.59857017445,0.155,10571.0,34250.95142982554,34250.95142982554,18.47193674620104
2058,67600,43.7729186727391,14.049842550422902,13943.264239632,43689.880000000005,64172.549999999996,30821.165580741705,1323.2540346128833,0,153950.1138549866,0.12,8112.0,33930.4361450134,33930.4361450134,18.05957888935997
2059,67100,44.39517046193885,14.529594014313597,14210.624670857998,44655.05,65147.549999999996,31156.865162947306,1361.7536375406648,0,156531.84347134596,0.085,5703.5,33757.20652865403,33757.20652865403,17.739962719165415
2060,66600,45.0,15.0,14474.0750364,45521.100000000006,66122.55,31468.500000000004,1398.6000000000013,0,158984.8250364,0.05,3330.0,33677.72496359999,33677.72496359999,17.480161538192032
