年份,粗钢产量,短流程占比,氢冶金占比,绿电降碳潜力,低碳工艺降碳潜力,产量变化降碳,短流程降碳,氢冶金降碳,原料优化降碳,技术减排总量,目标碳强度,目标排放,CCUS原始,CCUS拦截,CCUS占比
2046,80600,27.10980351333767,6.103185426154848,9162.607097279999,19094.140000000003,38822.549999999996,18617.17720286272,616.9751180221217,0,86313.44941816483,1.03,83018.0,26661.100581835155,26661.100581835155,23.599209363378883
2047,80300,27.851715354586858,6.575088158750813,9491.8145245,20693.310000000005,39407.549999999996,19352.152030139885,671.519368721536,0,89616.34592336143,0.96,77088.0,29288.20407663856,29288.20407663856,24.63169330075137
2048,79800,28.577030579050096,7.050391672088484,9795.20115168,22256.22,40382.549999999996,20013.035042810672,724.2318831489922,0,93171.23807763966,0.89,71022.0,31799.311922360328,31799.311922360328,25.445444484608835
2049,79200,29.29128139232271,7.526295705920624,10082.745177119998,23799.600000000002,41552.549999999996,20626.23806467144,775.3239298633708,0,96836.45717165481,0.82,64943.99999999999,34212.09282834519,34212.09282834519,26.106426075179918
2050,78500,30.0,8.0,10353.045976,25316.250000000004,42917.549999999996,21195.0,824.2500000000007,0,100606.095976,0.75,58875.0,36511.45402399999,36511.45402399999,26.627848896074934
2051,77900,30.708718607677294,8.468704294079377,10695.84923232,26782.020000000004,44087.549999999996,21778.323923763826,872.7180967631759,0,104216.461252847,0.687,53517.3,38258.78874715298,38258.78874715298,26.852936736136968
2052,77300,31.4229694209499,8.929608327911515,11034.12158912,28168.120000000003,45257.549999999996,22355.93973923227,919.438085621341,0,107735.1694139736,0.624,48235.2,40022.180586026385,40022.180586026385,27.08642283177547
2053,76700,32.14828464541314,9.379911841249186,11367.817202559998,29475.810000000005,46427.549999999996,22933.44133609304,964.1088573357197,0,111168.72739598877,0.561,43028.700000000004,41795.122604011216,41795.122604011216,27.323529450920088
2054,76100,32.890196486662326,9.816814573845154,11696.890228799999,30706.350000000006,47597.549999999996,23516.243360572542,1006.4393836044251,0,114523.47297297696,0.498,37897.8,43571.277027023025,43571.277027023025,27.560230195514414
2055,75500,33.65423715029278,10.23751626545218,12021.294823999999,31861.000000000007,48767.549999999996,24109.581215435916,1046.1487170624605,0,117805.57475649839,0.435,32842.5,45344.4752435016,45344.4752435016,27.793111459972952
2056,75000,34.4459388418998,10.639216655823033,12357.46176,32985.00000000001,49742.549999999996,24751.51307742355,1084.411873780092,0,120920.93671120366,0.372,27900.0,47171.61328879633,47171.61328879633,28.062881602305595
2057,74500,35.27083376707872,11.019115484710476,12689.982412799996,34039.05,50717.549999999996,25416.141061239425,1119.6361554163966,0,123982.35962945582,0.309,23020.5,48989.690370544165,48989.690370544165,28.32231587157819
2058,74000,36.13445413142485,11.374412491867275,13018.818579199999,35024.20000000001,51692.549999999996,26108.319677293428,1151.5597865972684,0,126995.4480430907,0.246,18204.0,50793.10195690929,50793.10195690929,28.56938872436346
2059,73500,37.0423321405335,11.702307417046192,13343.932056,35941.50000000001,52667.549999999996,26832.75406644437,1179.9293927293438,0,129965.66551517372,0.183,13450.5,52576.38448482627,52576.38448482627,28.802341424798435
2060,73100,38.0,12.0,13684.004207999998,36842.40000000001,53447.549999999996,27631.800000000003,1206.150000000001,0,132811.904208,0.12,8772.0,54408.645791999996,54408.645791999996,29.06125732031019
