年份,粗钢产量,短流程占比,氢冶金占比,绿电降碳原始,低碳工艺降碳原始,原料优化原始,目标碳强度,产量变化降碳,短流程降碳,氢冶金降碳,原料优化降碳,技术减排_不含绿电工艺,目标排放,CCUS原始_不含绿电工艺,绿电工艺最大值,绿电降碳调整,低碳工艺调整,技术减排总计,CCUS,CCUS占比
2041,72800,36.088483409238776,6.495308392973325,10081.12918176,18054.4,1948.074545454545,0.782,54032.549999999996,25639.761494599872,600.0876765126876,0.0,80272.39917111256,56929.6,58790.55082888743,58790.55082888743,10081.12918176,18054.4,108407.92835287255,30655.02164712744,22.043989176935657
2042,72000,37.05849837345478,7.023677293428757,10367.4316032,20088.000000000004,2221.805454545455,0.714,55592.549999999996,26300.86041899805,650.5571476903062,0.0,82543.96756668836,51408.0,62040.58243331163,62040.58243331163,10367.4316032,20088.000000000004,112999.39916988836,31585.150830111626,21.845453632571136
2043,71300,37.92209694209499,7.581433311646063,10661.827903159998,22138.65,2547.130909090903,0.646,56957.549999999996,26876.414411613532,703.884292680547,0.0,84537.84870429408,46059.8,65394.9012957059,65394.9012957059,10661.827903159998,22138.65,117338.32660745407,32594.423392545912,21.739362075694544
2044,70600,38.69133116460637,8.16490305790501,10950.412435199998,24180.500000000004,2856.649090909081,0.578,58322.549999999996,27345.707732986328,758.7632338321412,0.0,86427.02096681847,40806.799999999996,68758.72903318153,68758.72903318153,10950.412435199998,24180.500000000004,121557.93340201846,33627.81659798153,21.669397221060265
2045,69900,39.37825309043591,8.77041314248536,11233.127257799999,26212.5,3150.3599999999897,0.51,59687.549999999996,27722.78852878985,814.7278179895907,0.0,88225.06634677944,35649.0,72118.48365322055,72118.48365322055,11233.127257799999,26212.5,125670.69360457943,34672.85639542056,21.62410424081328
2046,69300,39.99491476903058,9.394290175666884,11526.54725376,28274.4,3501.310909090907,0.442,60857.549999999996,28061.742512166562,872.5864637605733,0.0,89791.87897592713,30630.6,75570.07102407285,75570.07102407285,11526.54725376,28274.4,129592.82622968714,35769.12377031285,21.63080670632685
2047,68700,40.55336824983735,10.032860767729343,11815.112259719997,30331.05,3838.7127272727225,0.374,62027.549999999996,28336.72138331165,930.8363021145096,0.0,91295.10768542615,25693.8,79003.64231457384,79003.64231457384,11815.112259719997,30331.05,133441.26994514614,36857.48005485385,21.642836518091794
2048,68200,41.06566558230319,10.682451528952503,12116.538797439998,32429.100000000002,4237.870909090911,0.306,63002.549999999996,28602.158301626547,990.514791411842,0.0,92595.22309303838,20869.2,82528.12690696161,82528.12690696161,12116.538797439998,32429.100000000002,137140.86189047838,37982.48810952161,21.688991279302055
2049,67700,41.543858815875076,11.339389069616134,12414.1526558,34527.0,4625.738181818185,0.238,63977.549999999996,28829.509764769027,1049.9649600195191,0.0,93857.02472478854,16112.599999999999,86022.92527521146,86022.92527521146,12414.1526558,34527.0,140798.17738058855,39081.772619411444,21.72658632571971
2050,67200,42.0,12.0,12707.912448,36624.0,5002.314545454544,0.17,64952.549999999996,29030.4,1108.800000000001,0.0,95091.75,11424.0,89476.79999999999,89476.79999999999,12707.912448,36624.0,144423.662448,40144.887552,21.750665295902255
2051,66600,42.44614118412491,12.660610930383864,12905.536073471998,38528.1,5256.212727272723,0.154,66122.55,29172.325538646706,1164.895031945349,0.0,96459.77057059205,10256.4,89276.37942940794,89276.37942940794,12905.536073471998,38528.1,147893.40664406406,37842.74335593593,20.374463105828312
2052,66000,42.89433441769681,13.317548471047497,13098.89927808,40293.0,5497.150909090913,0.138,67292.55,29308.85196616786,1219.4372986337032,0.0,97820.83926480156,9108.0,89063.71073519843,89063.71073519843,13098.89927808,40293.0,151212.73854288156,35671.81145711843,19.087619312093178
2053,65400,43.35663175016265,13.967139232270657,13287.965386752,41921.4,5725.129090909098,0.122,68462.55,29450.570172218606,1272.0763586857527,0.0,99185.19653090436,7978.8,88828.55346909563,88828.55346909563,13287.965386752,41921.4,154394.56191765636,33619.18808234362,17.881239048922552
2054,64800,43.845085230969424,14.605709824333116,13472.697724415999,43416.0,5940.147272727276,0.106,69632.55,29607.68056005206,1322.47499492518,0.0,100562.70555497725,6868.8,88561.04444502274,88561.04444502274,13472.697724415999,43416.0,157451.40327939324,31672.346720606747,16.746890182014024
2055,64200,44.37174690956409,15.22958685751464,13653.059615999999,44779.5,6142.205454545457,0.09,70802.55,29789.993046519197,1370.309214378661,0.0,101962.85226089787,5778.0,88251.69773910212,88251.69773910212,13653.059615999999,44779.5,160395.41187689785,29819.138123102137,15.676581062333106
2056,63600,44.94866883539362,15.835096942094992,13829.014386431998,46014.6,6331.303636363632,0.074,71972.55,30006.927062068964,1415.2682482758632,0.0,103394.74531034484,4706.4,87891.40468965516,87891.40468965516,13829.014386431998,46014.6,163238.35969677684,28047.790303223148,14.66273972434656
2057,63000,45.58790305790502,16.418566688353938,14000.525360639998,47124.0,6507.441818181818,0.058,73142.55,30267.51155074822,1457.0545520494484,0.0,104867.11610279766,3654.0,87471.43389720233,87471.43389720233,14000.525360639998,47124.0,165991.64146343764,26346.908536562347,13.698194426734709
2058,62500,46.30150162654522,16.976322706571242,14190.260279999999,48187.5,6756.823636363642,0.042,74117.55,30629.39199739753,1497.7802537410553,0.0,106244.72225113859,2625.0,87122.8277488614,87122.8277488614,14190.260279999999,48187.5,168622.48253113858,24745.06746886141,12.796907996642359
2059,62000,47.10151659076123,17.504691607026672,14376.444848639998,49135.0,6995.405454545453,0.026,75092.55,31053.96938646715,1534.9363194534817,0.0,107681.45570592063,1612.0,86699.09429407936,86699.09429407936,14376.444848639998,49135.0,171192.90055456062,23187.64944543937,11.92899672597869
2060,61600,48.0,18.0,14582.721753599999,50050.0,7311.550909090906,0.01,75872.55,31600.800000000003,1570.8000000000013,0.0,109044.15000000001,616.0,86332.39999999998,86332.39999999998,14582.721753599999,50050.0,173676.87175360002,21699.67824639997,11.106593010471304
